Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Translation (GO:0006412),31/234,1.1157075555674066e-14,2.2648863378018354e-11,0,0,6.569903562377259,211.06933732885503,RPL4;MRPS17;RPL3;MRPS33;RPL12;MRPS31;MRPL14;MRPL34;RPL10A;RPS15;MRPL41;RPS4X;MRPL20;RPS3;RPS2;RPL18;RPL17;MRPS26;RPS9;MRPS24;RPS5;RPL22;MRPL49;MRPS21;RPL13A;RPL23A;MRPL23;EEF2;MRPL46;EEF1G;RPS23
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),25/183,2.1828427130087875e-12,2.2155853537039195e-09,0,0,6.733203505355404,180.78916088587803,RPL4;MRPS17;RPL3;MRPS33;RPL12;MRPL14;RPL10A;MRPL34;RPS15;MRPL41;RPS4X;RPS3;RPS2;RPL18;RPL17;RPS9;RPS5;RPL22;MRPS21;RPL13A;RPL23A;EEF2;MRPL23;EEF1G;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),23/158,4.396540773891302e-12,2.974992590333114e-09,0,0,7.226760677526542,188.98125926980305,RPL4;MRPS17;RPS9;RPL3;RPS5;MRPS33;RPL12;RPL22;MRPS21;RPL13A;MRPL14;RPL23A;RPL10A;MRPL23;MRPL34;RPS15;MRPL41;RPS4X;RPS3;RPS2;RPL18;RPL17;RPS23
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),16/93,6.591284271278464e-10,2.989677020378024e-07,0,0,8.707120465741156,184.06942102881985,RPL4;RPS9;RPL3;RPS5;RPL12;RPL22;RPL13A;RPL23A;RPL10A;RPS15;RPS4X;RPS3;RPS2;RPL18;RPL17;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),28/296,7.363736503394147e-10,2.989677020378024e-07,0,0,4.450006604147404,93.5804502282373,RPL4;MRPS17;RPL3;NXT1;MRPS33;RPL12;MRPL14;MRPL34;RPL10A;RPS15;MRPL41;EXOSC7;RPS4X;EXOSC5;NUP85;RPS3;RPS2;RPL18;EXOSC2;RPL17;RPS9;RPS5;RPL22;MRPS21;RPL13A;RPL23A;MRPL23;RPS23
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),18/134,3.589511185224853e-09,1.214451284334409e-06,0,0,6.517241379310345,126.72938665249087,BLK;ITK;PLEKHA1;TXK;PDE4D;CD3G;CD3E;LAX1;CD3D;LIME1;CD79B;CD79A;CD8B;CD8A;CD19;PLCG1;CD247;SKAP1
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),14/103,1.7032817725981504e-07,4.939517140534636e-05,0,0,6.559145488739934,102.22781655131276,MRPS17;MRPS26;MRPS24;MRPS33;MRPL49;MRPS31;MRPS21;MRPL14;POLRMT;MRPL23;MRPL34;MRPL46;MRPL41;MRPL20
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),13/98,6.25725748608449e-07,0.00015877790870939392,0,0,6.364907419070412,90.9185886069237,MRPS17;MRPS26;MRPS24;MRPS33;MRPL49;MRPS31;MRPS21;MRPL14;MRPL23;MRPL34;MRPL46;MRPL41;MRPL20
GO_Biological_Process_2023,T Cell Activation (GO:0042110),13/111,2.6351317864404727e-06,0.0005943686140526843,0,0,5.516890267884456,70.87315763172316,ITK;CD3G;CD3E;LY9;CD3D;CD2;CD8B;CD8A;CD7;SLAMF6;CCR7;CD247;TNFRSF4
GO_Biological_Process_2023,Positive Regulation Of T Cell Activation (GO:0050870),12/107,1.0016020192597776e-05,0.0020332520990973,0,0,5.242914979757085,60.35289685104818,XBP1;CD40LG;CD6;CD81;IL23A;CCL5;SIRPG;PRKCQ;CCR7;HLA-DOA;CD3E;HLA-DOB
