Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),23/236,4.1322198751340346e-11,1.025203751020754e-07,0,0,6.320153854856044,151.1124849766259,HDAC4;ORM1;SLC11A1;STAT3;C5AR1;FPR1;HP;CYBB;ADM;PPBP;FOS;THBS1;PIK3CG;PJA2;TPST1;VNN1;C3AR1;OLR1;ADAM8;CD14;TLR5;TLR4;TLR2
GO_Biological_Process_2023,Endocytosis (GO:0006897),17/189,4.9538743745821297e-08,6.145281161669131e-05,0,0,5.694251410485758,95.78021718620246,RALBP1;HIP1;ITGAM;ANXA3;SORT1;SLC11A1;LRRK2;SORL1;IGF2R;CXCL16;CORO1C;PACSIN2;PPT1;REPS2;CD14;TLR4;PICALM
GO_Biological_Process_2023,Pattern Recognition Receptor Signaling Pathway (GO:0002221),9/56,5.741204550822857e-07,0.0004747976163530503,0,0,10.846267371786988,155.86548926502562,TRIM25;LY96;CD14;ALPK1;CLEC4E;TLR5;TLR4;CTSS;TLR2
GO_Biological_Process_2023,Regulation Of Interleukin-8 Production (GO:0032677),10/81,1.679444893742282e-06,0.0010416756953436,0,0,7.991018575219432,106.25695148674602,STAT3;F2RL1;BPI;CD14;CD58;TLR5;KLF4;TLR4;TLR2;HSPA1A
GO_Biological_Process_2023,Macrophage Activation (GO:0042116),7/35,2.293599640798961e-06,0.0010875234696846,0,0,14.092672413793103,182.9988203631437,ITGAM;IFNGR1;SLC11A1;C5AR1;DYSF;JAK2;TLR4
GO_Biological_Process_2023,Regulation Of Erythrocyte Differentiation (GO:0045646),7/36,2.8041257991700364e-06,0.0010875234696846,0,0,13.606024573919935,173.94511534399956,MAFB;STAT1;STAT3;HMGB2;HIF1A;ZFP36L1;HSPA1A
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),23/434,3.4601098561015168e-06,0.0010875234696846,0,0,3.2420338287456394,40.766014900017495,SEMA4A;GRN;ROCK1;STAT3;PTEN;SEMA3E;THBS1;SORL1;CXCL16;SAP30;CORO1C;PPP3CA;SDCBP;CEACAM1;PAK1;DAAM2;CEACAM6;MYADM;NUMB;CYP1B1;F2RL1;EMILIN2;PLXNC1
GO_Biological_Process_2023,Response To Molecule Of Bacterial Origin (GO:0002237),9/69,3.5067262222800696e-06,0.0010875234696846,0,0,8.490606936416185,106.64905042254284,SLC11A1;HMGB2;PELI1;LY96;IRAK3;CD14;JAK2;TRIB1;TLR4
GO_Biological_Process_2023,Protein Modification Process (GO:0036211),31/711,4.263803610949028e-06,0.0011753885287516,0,0,2.668459513435004,32.99643298821758,RNASEL;ROCK1;LRRK2;PTEN;F13A1;GLRX;THBS1;MTMR6;STK3;PPP3CA;PPP3R1;PAK1;PPP4R1;MAN2A2;PDK4;CTSG;JAK2;PAK2;TGM3;EIF2AK2;IRAK3;SSH2;SRPK1;SNRK;CREB1;B3GNT5;TAOK1;PKN2;PADI4;TRIB1;B4GALT5
GO_Biological_Process_2023,Positive Regulation Of Cytokine Production (GO:0001819),19/320,4.972858675610909e-06,0.0012323368697399,0,0,3.634076886568581,44.37758694433652,ORM1;SLC11A1;STAT3;EIF2AK2;LILRB2;PTGS2;HIF1A;SORL1;PIK3CG;CYP1B1;F2RL1;CD14;CD58;JAK2;CD46;TLR5;TLR4;TLR2;HSPA1A
