gene,log2FC,t_stat,p_value,case_mean,ctrl_mean,p_adj
ANTXR2,0.8271147180350877,10.695791980919802,1.997377442190239e-15,0.33699843636842103,-0.49011628166666665,1.5309056675987284e-11
PLXDC2,0.7867813667168339,10.622259450249219,2.305928103025649e-15,0.32574144828205126,-0.4610399184347826,1.5309056675987284e-11
STK3,0.6706449150657748,10.516757020513591,8.606885470750498e-15,0.28387649271794874,-0.3867684223478261,2.8570556320156278e-11
LAMP2,0.8539344006292735,10.366450629374924,7.605763723154629e-15,0.2607092045042735,-0.593225196125,2.8570556320156278e-11
NPEPPS,0.5126033231403508,9.444881764218696,1.782734702397595e-13,0.22021150597368422,-0.2923918171666667,4.734230275687053e-10
CTSS,0.8737046066228071,9.700694791481475,2.2672822559664894e-13,0.3344785532894737,-0.5392260533333334,5.01749563245384e-10
CCPG1,0.617559616775641,9.275629675383207,4.602794317631067e-13,0.269282903025641,-0.34827671374999997,8.730843278500759e-10
C5AR1,0.9666655808807134,9.040514942626903,8.666329401170984e-13,0.45741162235897437,-0.509253958521739,1.438394022359354e-09
NOTCH2,0.5046927564247492,9.126131644881118,1.2940193910685384e-12,0.25065910907692307,-0.2540336473478261,1.909109941623117e-09
RGS2,1.0106615923221849,9.469956799160856,1.5772193777126413e-12,0.313026108974359,-0.697635483347826,2.094231889726845e-09
PICALM,0.5091144241041667,8.860521753781008,2.209653921012591e-12,0.2015082841666667,-0.3076061399375,2.6672531602913805e-09
MARCKS,0.9258601993815789,8.588569177293579,7.4349777117433e-12,0.3941063371315789,-0.53175386225,8.226802838043962e-09
DOCK8,0.8642087090635966,8.651634631176144,9.506619936537495e-12,0.3106449521052632,-0.5535637569583334,9.709915347488065e-09
TLE4,0.6546968456833889,8.421433185111265,1.4510405664221346e-11,0.2278325492051282,-0.42686429647826074,1.1062881736034421e-08
CKAP4,0.9722070054158305,8.455143619903422,1.2084730841246062e-11,0.4943106465897436,-0.47789635882608694,1.1062881736034421e-08
PDK4,1.0078512958201755,8.28101992666753,1.6374783952430297e-11,0.5171571087368422,-0.4906941870833333,1.1062881736034421e-08
CORO1C,0.7994298477324561,8.292503007880407,1.6663476029574363e-11,0.32422060981578943,-0.47520923791666664,1.1062881736034421e-08
BAZ1A,0.566431464173077,8.283981105057357,1.5008406862256278e-11,0.24229733092307695,-0.32413413325,1.1062881736034421e-08
MTPN,0.6223727276535088,8.732097151248922,1.517663877683103e-11,0.18027792373684212,-0.4420948039166667,1.1062881736034421e-08
NUMB,0.7321421863004385,8.474792721434566,1.578862955076842e-11,0.30715272384210524,-0.4249894624583333,1.1062881736034421e-08
DFFB,-0.28253589612280705,-8.516820503574909,1.94709403610926e-11,-0.09554565528947367,0.18699024083333335,1.1240658526721198e-08
ID3,-0.873602171366228,-8.247490347710272,1.8928854612308794e-11,-0.4074748931578947,0.4661272782083333,1.1240658526721198e-08
HMGCR,0.6906945408338907,8.55093897963222,1.834211756721107e-11,0.23569926205128203,-0.4549952787826087,1.1240658526721198e-08
FLT3LG,-0.7784642716845038,-8.205621216158852,2.2074382642485904e-11,-0.2791742986410256,0.4992899730434783,1.1744051118775177e-08
PPIH,-0.5041598583232998,-8.298388426801838,2.211186006698143e-11,-0.1471065124102564,0.35705334591304344,1.1744051118775177e-08
SQRDL,0.5533189939364035,8.06353463623382,3.898498285809838e-11,0.2161425528947368,-0.33717644104166666,1.9909330861147318e-08
CPD,0.9434277673534002,8.04645773632363,4.0830383056651207e-11,0.4376859441794871,-0.505741823173913,2.007947504541536e-08
ZNF337,-0.6784144227719299,-7.9880092817596156,5.222421751059508e-11,-0.27303008110526317,0.4053843416666667,2.476547000377434e-08
FGL2,0.7514619792982455,8.067551286902123,6.079468808511281e-11,0.2459590826315789,-0.5055028966666667,2.6039737690133156e-08
SDCBP,0.8427741307268672,7.9745146949750545,5.854077271622363e-11,0.36605825320512814,-0.4767158775217391,2.6039737690133156e-08
CREBBP,0.5473970801858974,7.9984744849032285,5.941096480479397e-11,0.22517184710256408,-0.32222523308333334,2.6039737690133156e-08
STX6,0.4238187972887403,8.06389022961781,6.344201829169465e-11,0.1705923078974359,-0.2532264893913044,2.6324472464910047e-08
RASSF2,0.4988796264166666,8.004826091060327,7.44384849527012e-11,0.20382679488888886,-0.2950528315277778,2.907041774123431e-08
MYO5A,0.49468204259531784,7.962419508971517,7.229841746783249e-11,0.20219365176923082,-0.292488390826087,2.907041774123431e-08
ZNF419,-0.32197498054849494,-7.9589151647055605,8.002261259656628e-11,-0.12748676646153842,0.19448821408695655,3.035829285877735e-08
MRPL49,-0.30537789665570175,-7.858331367798953,8.687831370904802e-11,-0.12582796494736842,0.17954993170833333,3.204361803968721e-08
ALG9,-0.2589517533179825,-8.119396680880232,9.235585045392323e-11,-0.0658716655263158,0.19308008779166666,3.207590244540877e-08
RNF13,0.5538012068253205,7.820558903796398,9.421299859699821e-11,0.2453729371794872,-0.30842826964583336,3.207590244540877e-08
SPAG9,0.3712542832702991,7.826285097409309,9.008899745712789e-11,0.14201516414529913,-0.22923911912499997,3.207590244540877e-08
HSDL2,0.737415677192865,7.853774375007711,9.713576583228618e-11,0.26018299041025644,-0.47723268678260866,3.22442174680274e-08
HIST2H2BE,0.7775941419583333,7.82617277373578,1.0244470183682154e-10,0.344665301,-0.43292884095833334,3.31770914875443e-08
SUSD3,-0.654469937614035,-7.854392392989461,1.082765106576182e-10,-0.2283039609473684,0.4261659766666666,3.423084544075844e-08
BAZ2B,0.9094652045,7.9280022991847785,1.191987430206791e-10,0.41552187249999994,-0.493943332,3.680746301926923e-08
