gene,log2FC,t_stat,p_value,p_adj
BAZ2B,-1161.2500000000005,6.599008830535189,2.0797939634166334e-08,0.00027615504246246056
KCTD9,-67.9676470588235,5.790413736914368,3.3328025320367336e-07,0.000429974861216776
CAPZA2,-2674.3147058823515,5.740505651401575,3.9519179897899903e-07,0.000429974861216776
PTPN11,-258.38529411764716,5.968678071734558,1.6616867776028026e-07,0.000429974861216776
RCOR3,-379.35294117647084,5.781990530057231,2.3614007014653846e-07,0.000429974861216776
HMGCR,-414.5352941176468,5.728695817919277,4.209725256678783e-07,0.000429974861216776
SLMAP,-404.94705882352923,5.71530098581878,3.774131557433915e-07,0.000429974861216776
VCPIP1,-249.34117647058827,5.7866493550956974,2.479585911207457e-07,0.000429974861216776
ANKRD49,-435.98823529411766,5.9003471273791055,2.1183162793819485e-07,0.000429974861216776
GMFB,-567.5441176470588,5.71916691069386,3.046297217679224e-07,0.000429974861216776
WBP4,-130.2794117647059,5.719476408290028,3.4495547074636606e-07,0.000429974861216776
CSK,1417.0323529411753,-6.014610886644159,8.845113899731574e-08,0.000429974861216776
LY96,-5803.070588235294,5.961652072023998,1.87426467108638e-07,0.000429974861216776
SNRK,-1853.9147058823519,5.626227985919407,5.794916911254519e-07,0.00045261709851551475
SMARCE1,-121.92352941176455,5.562384245497656,5.77276624361427e-07,0.00045261709851551475
E2F4,357.26176470588234,-5.563237865759289,5.191074743114599e-07,0.00045261709851551475
WDFY1,-1024.0588235294113,5.778730126416603,5.632171360477159e-07,0.00045261709851551475
BBS7,-17.089215686274514,5.452957848349335,7.962177047043858e-07,0.0005358069710288511
BIRC2,-1127.10294117647,5.558763219545108,8.070597545245534e-07,0.0005358069710288511
DDIT3,-227.42647058823525,5.627880307050357,7.961825522135704e-07,0.0005358069710288511
TMEM55A,-390.63823529411775,5.478948050951147,8.862479002107942e-07,0.0005603618866189964
PPM1B,-179.5076470588234,5.47192057851886,1.063473522796372e-06,0.0005648320574276091
SARS,162.8499999999999,-5.384990932939736,1.0353067727875798e-06,0.0005648320574276091
PHF2,-105.69411764705887,5.432521859734297,1.0205273796398346e-06,0.0005648320574276091
TLE4,-588.4764705882349,5.412969511921381,1.013094156834636e-06,0.0005648320574276091
PCF11,-190.86764705882376,5.364799385764998,1.2300896564484002e-06,0.0006212501387558726
MFN1,-35.42352941176469,5.537193260027619,1.263274118572719e-06,0.0006212501387558726
RPL34,-317.2441176470586,5.359461597848623,1.4424385141366553e-06,0.0006384232863568837
SLC25A1,140.65588235294138,-5.306767258911468,1.4073056308169166e-06,0.0006384232863568837
UBL3,-398.67647058823536,5.321673165212262,1.3737221191679283e-06,0.0006384232863568837
TRAPPC1,608.9852941176464,-5.264095890714364,1.652448283656327e-06,0.0007077809132383455
RAC2,6523.702941176463,-5.254084521572905,1.7124276178314457e-06,0.0007105504346739354
ZNF627,-140.1647058823528,5.25995224210271,1.873406362372572e-06,0.000731620284693618
RTN4,-509.0139705882357,5.237715932441444,1.8719099391806888e-06,0.000731620284693618
RPS15A,-9159.637254901965,5.231645292982854,2.0389057325111536e-06,0.0007361577018165471
AKR7A3,110.14999999999998,-5.2208156448367395,1.966398670760782e-06,0.0007361577018165471
CHMP5,-323.3764705882352,5.208343140620536,2.051350728062377e-06,0.0007361577018165471
SLC25A14,-39.84117647058821,5.195179612820542,2.182126826836252e-06,0.0007624810528087303
TATDN3,-106.60441176470579,5.234230070390016,2.332184939642703e-06,0.000794019272527585
REEP5,-1030.802941176471,5.1558766990347324,2.562821283789284e-06,0.0007947163664597651
LEMD3,-557.4117647058824,5.215604021913963,2.693345119045747e-06,0.0007947163664597651
SNX16,-92.36176470588236,5.192331016348486,2.66147970469629e-06,0.0007947163664597651
HMGCS1,-156.44705882352946,5.246485496067242,2.618616167303141e-06,0.0007947163664597651
ST8SIA4,-138.42843137254908,5.171633023241162,2.651396121296017e-06,0.0007947163664597651
BIRC6,-86.13529411764705,5.206495403036306,2.5552995723048303e-06,0.0007947163664597651
SIAH1,-74.77745098039219,5.2138221294165845,2.9950831792588092e-06,0.000864537270743445
OXR1,-574.7823529411764,5.119828155675149,3.198666675721531e-06,0.0008780224922644081
LSM3,-569.4529411764706,5.10304615792464,3.2401794035966257e-06,0.0008780224922644081
STAG2,-192.1715686274507,5.143593346623462,3.1912568001979468e-06,0.0008780224922644081
ARHGDIA,491.0617647058823,-5.102575385692785,3.5467652751160672e-06,0.0009418789864598228
SYF2,-326.6813725490201,5.042152688515228,4.146723686699193e-06,0.0010796117080782723
ATP6V0A2,-146.8235294117647,5.110577644143422,4.3186303255525436e-06,0.0010819391219374845
PCMTD1,-473.00588235294106,5.073502532276054,4.23875643135377e-06,0.0010819391219374845
CKLF,-2045.2470588235292,5.037058325608037,4.54781691440565e-06,0.0011182576479533003
RGS18,-2994.388235294118,5.107721648072047,4.76654358880107e-06,0.0011507302867654657
COPA,644.3382352941176,-4.965587963046462,5.10899677220589e-06,0.0011696079162301692
ZNF333,-68.51764705882363,5.033597331964065,5.103224328262868e-06,0.0011696079162301692
AGL,-47.98431372549027,4.998460202653626,5.083486912074312e-06,0.0011696079162301692
SLC44A1,-248.8573529411767,4.9756435008556075,5.642077636742648e-06,0.001269754353570659
SDPR,-1821.4470588235301,5.2503107901851065,5.7880676278775195e-06,0.001280899366049295
ARL5B,-43.147058823529335,4.961408794577152,6.1675925884280945e-06,0.001342513022772922
IDE,35.085294117647095,-4.915529868467219,6.3834372603291526e-06,0.0013670851603653303
ALG3,121.1411764705881,-4.897536065367457,6.865285767730238e-06,0.0014469407051416207
RAB10,-1167.285294117648,4.845643212683244,8.303572249132942e-06,0.0017227317550623
LSM1,-1422.1147058823522,4.844901194991583,8.467081867873221e-06,0.0017296294314095482
RBM15,-199.59705882352966,4.8806257522230165,8.75455885852688e-06,0.0017612580685381805
PRKAA1,-227.43235294117642,4.929490365871253,9.202366533461058e-06,0.0018237167586760584
RPL31,-4898.914705882353,4.887316636900863,9.524626157137137e-06,0.0018598233252127487
MRPS36,-54.908823529411734,4.809938039233315,1.0620637752415588e-05,0.0020145832582367743
DDX46,-110.9323529411763,4.771089750997016,1.0532642083529403e-05,0.0020145832582367743
CDK2AP2,93.09705882352938,-4.764519122826663,1.0925869459333853e-05,0.0020432914743807734
ZNF613,-45.926470588235304,4.754752175650029,1.1501490106548873e-05,0.002118389986098264
VARS,45.53676470588226,-4.747635135717,1.1646518224519752e-05,0.002118389986098264
PHF5A,-446.44117647058783,4.768904642262579,1.1850991486465463e-05,0.002126452229152546
RNF13,-305.95882352941203,4.796925777982043,1.2134390968746123e-05,0.002139868085864903
GFM1,-148.49117647058813,4.83132460982799,1.2409236527458768e-05,0.002139868085864903
COMMD6,-1662.7985294117648,4.752692949223219,1.2254255544027874e-05,0.002139868085864903
CASP3,-135.7676470588235,4.747116251951681,1.2629983029170384e-05,0.0021500117264272355
TFAM,-278.3529411764706,4.723876686735478,1.4610832833738965e-05,0.0024557295995745057
PTGER4,-779.2176470588238,4.787942949657061,1.533617012290574e-05,0.002525008714140622
TNFSF10,-2176.0088235294106,4.745219718560091,1.635351956987251e-05,0.002525008714140622
ARHGAP1,569.200000000001,-4.652603732210914,1.6297152284979328e-05,0.002525008714140622
EPHA6,-13.911764705882348,4.680585886919725,1.6544340874396302e-05,0.002525008714140622
SNX17,536.1411764705886,-4.701282655280712,1.542253470053138e-05,0.002525008714140622
CDC14B,3839.3264705882357,-4.682385663887319,1.635020968946906e-05,0.002525008714140622
EVI2A,-263.4985294117647,4.741440479552788,1.6394070227605357e-05,0.002525008714140622
SCYL2,-210.93235294117642,4.669615487511067,1.589124975502372e-05,0.002525008714140622
PPP1R14B,303.7117647058826,-4.6462137039230145,1.7211692828525458e-05,0.002578139134761612
RASA1,-88.81470588235288,4.63808598998919,1.7280794019715582e-05,0.002578139134761612
SRPR,180.4823529411765,-4.619699983901026,1.8650876840765455e-05,0.0026345355605498265
ZNF706,-35.01470588235293,4.648268858966694,1.7866097390436215e-05,0.0026345355605498265
RPS6KB1,-188.5411764705882,4.618617152309071,1.8411465387769527e-05,0.0026345355605498265
DEGS1,-525.5661764705883,4.633635872180177,1.863891970492102e-05,0.0026345355605498265
PTS,-142.47647058823532,4.650610563928442,1.8215350989227226e-05,0.0026345355605498265
GLRX,-1261.0617647058825,4.64385564730305,2.0390516522708027e-05,0.002849950298826497
TERF2,103.3558823529412,-4.598522430805719,2.194804578508654e-05,0.0029737362442283583
AHSA1,119.94705882352946,-4.58314144784811,2.1746067593779466e-05,0.0029737362442283583
KBTBD8,-84.88823529411764,4.575334050330719,2.1569419744814294e-05,0.0029737362442283583
NRIP1,-121.13823529411752,4.633784893222858,2.2759075932672856e-05,0.0030524748508487898
TM9SF4,218.07058823529405,-4.587489409360753,2.339794269732997e-05,0.0030552450034425113
C1GALT1C1,-40.58676470588233,4.580258384475678,2.3724405313222e-05,0.0030552450034425113
SRM,100.07352941176458,-4.5648355714171815,2.302737400429882e-05,0.0030552450034425113
MAX,-108.66705882352937,4.623971462788772,2.3930221445851876e-05,0.0030552450034425113
FBXO33,-368.2882352941176,4.549195390944,2.3676582518165575e-05,0.0030552450034425113
FBXO28,-100.75588235294117,4.530723017721423,2.588746848942693e-05,0.003242771760401989
JMJD1C,-459.6779411764703,4.538094978137266,2.586561666205712e-05,0.003242771760401989
BNIP2,-582.8294117647054,4.535348068878755,2.7087401872269176e-05,0.003358125822162464
FEM1C,-316.714705882353,4.548061337714422,2.7567081986421794e-05,0.003358125822162464
PFDN5,-6184.927941176473,4.532335424990847,2.7445304108858205e-05,0.003358125822162464
SF3B4,645.2499999999995,-4.522681759634189,2.793641093241264e-05,0.003372178766914319
ARFRP1,27.623529411764707,-4.508911195369131,2.836195574062607e-05,0.003382152300827509
COIL,-127.27647058823527,4.523032684568759,2.8528472487775344e-05,0.003382152300827509
EBP,-67.46764705882345,4.493474704373091,2.997297943253157e-05,0.0035219577071252586
PIGA,-77.51470588235293,4.502237116888275,3.10711885744951e-05,0.003542341137077321
KLHL17,-31.28823529411764,4.531929474625001,3.08450725057262e-05,0.003542341137077321
RPL27,-14068.029411764699,4.50320168073124,3.0874505543823766e-05,0.003542341137077321
TEX13A,-22.273529411764628,4.472418546703651,3.121357983416528e-05,0.003542341137077321
CAPNS1,704.5632352941175,-4.468426646877612,3.168470132270354e-05,0.0035653344420581152
EPS15,-79.52941176470591,4.470453912093834,3.287162944347478e-05,0.0036138621496925186
CORO1B,139.57352941176475,-4.470393635461777,3.259390473793513e-05,0.0036138621496925186
RPS24,-2686.5073529411757,4.457753898613117,3.293246875378783e-05,0.0036138621496925186
GTF2F2,-271.9617647058824,4.441617305257049,3.48684039719102e-05,0.003794939901139538
BCAP31,629.3617647058818,-4.444189958122465,3.5598812968523826e-05,0.0038429352731386944
DRD4,20.276470588235327,-4.464031524950074,3.7189598721180096e-05,0.003982286224353462
