,title,gsm,time
GSM922887,3100083,GSM922887,Baseline
GSM922888,3100191,GSM922888,Baseline
GSM922889,3100068,GSM922889,Baseline
GSM922890,3100060,GSM922890,Baseline
GSM922891,3100038,GSM922891,Follow-Up
GSM922892,3100135,GSM922892,Baseline
GSM922893,3100195,GSM922893,Baseline
GSM922894,3100058,GSM922894,Baseline
GSM922895,3100112,GSM922895,Baseline
GSM922896,3100039,GSM922896,Baseline
GSM922897,3100113,GSM922897,Baseline
GSM922898,3100031,GSM922898,Baseline
GSM922899,3100157,GSM922899,Baseline
GSM922900,3100114,GSM922900,Baseline
GSM922901,3100066,GSM922901,Baseline
GSM922902,3100076,GSM922902,Baseline
GSM922903,3100118,GSM922903,Baseline
GSM922904,3100048,GSM922904,Baseline
GSM922905,3100137,GSM922905,Baseline
GSM922906,3100042,GSM922906,Baseline
GSM922907,3100034,GSM922907,Baseline
GSM922908,3100193,GSM922908,Baseline
GSM922909,3100077,GSM922909,Baseline
GSM922910,3100197,GSM922910,Baseline
GSM922911,3100036,GSM922911,Baseline
GSM922912,3100050,GSM922912,Baseline
GSM922913,3100121,GSM922913,Baseline
GSM922914,3100061,GSM922914,Baseline
GSM922915,3100035,GSM922915,Baseline
GSM922916,3100126,GSM922916,Baseline
GSM922917,3100047,GSM922917,Baseline
GSM922918,3100044,GSM922918,Baseline
GSM922919,3100084,GSM922919,Baseline
GSM922920,3100021,GSM922920,Baseline
GSM922921,3100140,GSM922921,Follow-Up
GSM922922,3100152,GSM922922,Follow-Up
GSM922923,3100119,GSM922923,Follow-Up
GSM922924,3100122,GSM922924,Follow-Up
GSM922925,3100054,GSM922925,Follow-Up
GSM922926,3100055,GSM922926,Follow-Up
GSM922927,3100194,GSM922927,Follow-Up
GSM922928,3100027,GSM922928,Follow-Up
GSM922929,3100064,GSM922929,Follow-Up
GSM922930,3100206,GSM922930,Follow-Up
GSM922931,3100056,GSM922931,Follow-Up
GSM922932,3100075,GSM922932,Follow-Up
GSM922933,3100198,GSM922933,Follow-Up
GSM922934,3100018,GSM922934,Follow-Up
GSM922935,3100028,GSM922935,Follow-Up
GSM922936,3100144,GSM922936,Follow-Up
GSM922937,3100072,GSM922937,Follow-Up
GSM922938,3100015,GSM922938,Follow-Up
GSM922939,3100139,GSM922939,Follow-Up
GSM922940,3100024,GSM922940,Follow-Up
GSM922941,3100029,GSM922941,Follow-Up
GSM922942,3100063,GSM922942,Follow-Up
GSM922943,3100067,GSM922943,Follow-Up
GSM922944,3100053,GSM922944,Follow-Up
GSM922945,3100192,GSM922945,Follow-Up
GSM922946,3100115,GSM922946,Follow-Up
GSM922947,3100069,GSM922947,Follow-Up
GSM922948,3100133,GSM922948,Follow-Up
GSM922949,3100065,GSM922949,Follow-Up
GSM922950,3100196,GSM922950,Follow-Up
GSM922951,3100138,GSM922951,Baseline
GSM922952,3100037,GSM922952,Follow-Up
GSM922953,3100136,GSM922953,Follow-Up
GSM922954,3100020,GSM922954,Follow-Up
