gene,GSE16561_log2FC,GSE16561_pvalue,GSE16561_padj,GSE22255_log2FC,GSE22255_pvalue,GSE22255_padj,GSE37587_log2FC,GSE37587_pvalue,GSE37587_padj,meta_padj,TRI
EPRS,-0.1969208767335563,0.0435401449809027,0.1714490050582524,-0.098083333333335,0.060207394414296,0.4529369875541206,220.03823529411736,0.0259622273020144,0.2107129915135379,0.04218456960829387,0.12101638754347599
VCP,0.2269504878350055,0.0049175915745095,0.0297746379053069,-0.0268815000000017,0.6863897884128717,0.8825644264928573,89.4764705882352,0.0884727776802051,0.3734947571735734,0.022096314871003653,0.049210171251622414
FAM64A,0.0193756045614035,0.8454853804612757,0.944474290428168,-0.0325709999999994,0.4055690576498171,0.7228946317930661,-1.3352941176470663,0.6308904170670209,0.8655675715866815,0.9479274435148467,0.0007343835956951129
MYL9,0.271813433625,0.0164727886733801,0.078284068720523,0.2678202499999997,0.2210659985317289,0.6009206278495195,20.932352941176475,0.4968766641408471,0.7959680521196562,0.15558886593070564,0.011512352534277733
ZNF664,-0.0356504150111482,0.633965457199883,0.9064642304759116,0.0745599999999999,0.0658854372403892,0.4638203026483655,8.385294117647106,0.2776844455243361,0.6311013994639421,0.7387353813606681,0.004611734870763804
KIRREL,0.0899516713925438,0.351340814566194,0.7713464510267732,0.0426536666666672,0.2128508001597948,0.5982010297371331,-1.708823529411745,0.5987646100315646,0.8516761105515923,0.7840003416437799,0.0009398168922882231
ELL3,-0.1003547353857302,0.1197979003621987,0.3728730710288971,0.0369885000000014,0.5663058204164647,0.8171722978145419,1.3441176470588232,0.8109712881825664,0.9443196320694656,0.5896782646193444,0.0007392363507327415
CCNH,0.2277833247391304,0.16915383280396,0.4822900133070607,0.1759450000000004,0.1370467921177164,0.5311477532908001,15.44705882352946,0.7995281515721518,0.939980059905705,0.6720750748724985,0.008495556485882651
DPPA2,0.0695724314013157,0.4617798411993684,0.863201039290705,0.0335554999999998,0.475060428596741,0.7637689710304202,-3.241176470588272,0.3134195686828637,0.6636452060396157,0.6879312132951205,0.0017825786838238306
GGCX,0.0344945767697368,0.6228735621255697,0.9038924964709308,-0.0737890999999999,0.1728385811287084,0.5638800396191512,2.773529411764713,0.5722302905240615,0.8386394920064557,0.8964153120479796,0.0015253826668292717
F11,0.0476820832820512,0.6394880131479651,0.9066589936846208,-0.0053829999999996,0.8137404656282656,0.9375950974151432,-9.18529411764706,0.0052679304623411,0.0849067088597471,0.08852493896990797,0.005051717994175827
KCTD9,0.1968629637982456,6.080222345888579e-05,0.0008498230769337,0.0149574999999995,0.8817827738742579,0.9630129685394304,-67.9676470588235,3.332802532036734e-07,0.0004299748612167,8.726708358751273e-08,0.03738077205488604
ITGAX,0.3427576542339743,0.0013031719874339,0.0100453643888156,0.0571012499999987,0.4605834481726503,0.7557621137959034,93.5426470588236,0.511026463299898,0.8062803103815153,0.029505496388943904,0.05144648253146499
INSIG2,-0.0182649391732456,0.8230240691257867,0.9381263877854182,-0.1329080000000004,0.187245340744411,0.5765871137301227,-104.0029411764707,0.0014006410835638,0.0378933160043167,0.042725748165005815,0.057199423628578785
RECQL4,0.007419071872807,0.9365553860691568,0.9755693430788628,-0.0033527499999994,0.9348833027134492,0.9800716470231238,1.3176470588235816,0.662780524290236,0.8806265126247678,0.9658707626333392,0.0007246780856198717
PDDC1,-0.130218476411859,0.0222842948430552,0.099861919313563,0.0208180000000002,0.7844751212400849,0.9246908962411192,7.236764705882308,0.2702653306222544,0.6241014017395294,0.12819006575441172,0.003980067923365207
FBXL12,-0.040164523303728,0.3484181062344833,0.7673404568886166,0.0722664999999986,0.1856042949729567,0.5756761813886464,8.741176470588243,0.3482953577744665,0.6910687875033692,0.6457432940603276,0.004807462657281642
PGM2,0.3093150517785087,6.296977790235767e-05,0.0008727690093815,-0.0078403333333323,0.9418901554424132,0.982529538185399,-123.42647058823523,0.000310080965831,0.015958352962423,1.3139383337646281e-05,0.0678819550514212
DNAJC17,-0.0779872291096491,0.1915742303505215,0.528840463741003,-0.2710994999999991,6.641851874745845e-05,0.2090473860600033,-28.84999999999997,0.0310948603582457,0.2300733006211026,0.12728628972226608,0.01586689138804695
CHTF18,-0.0169125207826087,0.8276628689680792,0.9388971210328796,0.0747660000000003,0.5813277452024544,0.8258793429774858,-5.676470588235304,0.2912475463591865,0.642709808967472,0.8167989813252868,0.00312193907421049
IER3IP1,0.0221537908483835,0.8886443427874298,0.958142695664128,0.0175962500000004,0.8225245592742068,0.94142583381113,-68.43529411764706,0.2064339847070466,0.5550891958161532,0.748839684168942,0.0376379680718806
PON1,0.1306470894682274,0.1827033270442517,0.5115847272234446,0.1095137499999996,0.128166106115875,0.5248702913729593,-3.155882352941205,0.3888827966744633,0.720567370114921,0.5147646764117327,0.0017356687184600413
SAMSN1,0.4610554280523969,0.0658733711424771,0.2361410966603163,0.5503161666666667,0.0325813278165221,0.413080525548856,-135.05294117647054,0.151039779609686,0.4866552277741837,0.1755482761794831,0.07427626860600879
PLXNB3,0.0790867713947368,0.4220411373352324,0.837647566746968,0.1068900000000008,0.0256138736223061,0.3961801323314091,-2.191176470588232,0.4961775660608967,0.7955124788643965,0.782926919573478,0.001205100834345496
SRI,-0.0261145816143162,0.6698215607471337,0.9085539786975144,-0.1151517500000007,0.3310726625962994,0.6742612062049494,-41.14999999999998,0.0006035222652377,0.023779135423818,0.020893699656277822,0.022631631910507183
CHST6,0.0423417007591973,0.6932013845210936,0.9106071019834712,-0.0164880000000002,0.7813186825936211,0.9238067201672396,0.4235294117647186,0.8752711632526442,0.9611790262761696,0.9629886062799603,0.00023293224180638512
KCNJ12,0.0441143704188596,0.6812928573981492,0.9097344946276869,0.0654858333333332,0.0647408500418931,0.4619177898206649,-0.3735294117647072,0.8884688782788576,0.9639871430909432,0.9625755570172361,0.00020543329659312588
ASB3,0.0513201906522435,0.2714132072856041,0.6662311230915287,-0.0294928333333315,0.4162566521642598,0.728970697367059,0.5911764705882661,0.9507548252487336,0.9845486324156356,0.8310396621406796,0.00032513458752141973
RAVER1,0.0795794273442982,0.3314896149458877,0.747667590835994,-0.0694139999999992,0.4888098189142347,0.7734974109811952,41.349999999999966,0.065451905399419,0.3275802487348234,0.2780492598480271,0.022741627691360188
BPNT1,0.0261149436359649,0.6575885521068303,0.9075456227425952,-0.0766223333333337,0.0950239276075891,0.4937683081805493,-2.599999999999966,0.8182439809120967,0.9459979693476072,0.9485569264867919,0.0014299451510891357
DDX56,-0.4427612528528427,1.5579307884628524e-07,7.387930360432055e-06,-0.0355477500000009,0.5578554898591159,0.8132234218298608,83.04999999999995,0.154643106094131,0.4901188368770593,1.552708406773616e-05,0.04567574799921316
ASGR1,0.4040333725551839,0.0015223803816856,0.0113946824735183,-0.2217199999999985,0.1339855008101344,0.5281163718093094,-77.50294117647081,0.6673506784594078,0.8820507971913215,0.03928468893395695,0.04262498266555478
ACBD4,0.0257306035153508,0.7468462703270388,0.9221084626197024,-0.0300960000000003,0.5773245564128109,0.82391610705603,-1.75,0.7352850959883643,0.9101304887331876,0.951057323477567,0.000962463082463854
MSI2,0.058118050034188,0.5581506480345877,0.898335946588769,0.0184713499999995,0.7173702824698303,0.8950613240588617,13.197058823529517,0.6821173823273341,0.8873294249646948,0.9078186740883203,0.007258103951286298
SEMA4G,0.0631733178311403,0.5015383049927931,0.8805787230316394,0.0779445000000018,0.0353452800388577,0.417805202172414,-2.623529411764707,0.4319411348791913,0.752567168209671,0.791374500537263,0.0014428858311895097
ZNF174,0.0336571721549145,0.599139187379881,0.903755394905552,-0.0630476666666686,0.4275261321175336,0.7375200704503848,-3.9205882352941046,0.1820075735372386,0.5257116731406252,0.6187246210550995,0.002156240821721535
DTNB,0.0378546884335526,0.6698137954411302,0.9085539786975144,0.0675684999999983,0.1565042655718768,0.5539477029769255,3.344117647058823,0.4876959502492392,0.7914069882781775,0.8797070903230361,0.0018391941592628604
PABPN1,-0.0686915605526315,0.3636590056164789,0.7865517855746399,-0.1791580000000001,0.1223026155855228,0.522002637423108,-119.32058823529428,0.0748734531433531,0.3498553485225487,0.31598882798016686,0.0656238063739095
KIR2DL5A,-0.0132308493247863,0.8705235647340435,0.9522511057267276,0.1162855,0.5866359788729095,0.8289942655067692,7.260784313725452,0.1021804480551371,0.4018815134111702,0.5679203018852328,0.003993278200967656
H3F3A,0.0993500612631579,0.3256311285308718,0.7400497665851326,0.0480806111111107,0.1762259292040291,0.5666007730844375,830.1558823529485,0.4973184319250096,0.7963572285456195,0.7175662900859392,0.45656822254566826
SMPDL3B,0.0240243382350427,0.7845873300341393,0.9253538441491946,0.1027697499999993,0.0151050291542768,0.3825038043684317,3.961764705882388,0.1727005377300995,0.5152503708476421,0.6725608117891064,0.002178887011897181
MC5R,0.0416151252280701,0.6480875630197456,0.9071843481444054,0.056483,0.300876289972347,0.6525573120315807,1.4970588235294144,0.650971366815477,0.8755190199596371,0.9213818272658422,0.0008233507713850464
L3MBTL3,0.0295429892510683,0.5962998526769693,0.9036691428923732,-0.0342720000000023,0.6738949037622759,0.8764444408854737,-6.531372549019693,0.421870265150615,0.7454052405564128,0.8257251184675568,0.0035921171178567393
CARD11,-0.3502888555986841,0.0002910021819684,0.0029161712997563,-0.0536599999999989,0.5116072888056853,0.7877131933747915,76.7264705882352,0.3005807156425387,0.6513972159787219,0.007056057452610133,0.04219794022224291
GORASP1,0.175870830560758,0.0014601835268247,0.0110223518301185,0.0476489999999998,0.4711455821294851,0.7618020136586713,-18.71764705882356,0.5079346596287395,0.8043358867680863,0.03161914640912349,0.010294311019831894
FHL1,0.1766679989627192,0.0480822297569869,0.18500024535302,0.1727746999999988,0.3094518095469983,0.6584548159144605,-53.02058823529399,0.0284852338645055,0.2214443414829649,0.04786279344206912,0.029160205021135893
DUSP27,0.0664369951602564,0.4396451342677404,0.8481492882704853,0.0604300000000002,0.3168337277832546,0.6638659046088141,-3.917647058823548,0.3981531731552399,0.7257548630939562,0.7375642214625607,0.002154623236709008
PSRC1,0.1264621369551282,0.0682144632495279,0.2426012883522209,-0.1774374999999999,0.4079511537475636,0.72351385186477,-6.926470588235304,0.1614007264241254,0.499785178512019,0.18694283765636102,0.0038094127045418145
RHOT1,0.2484734057649572,2.1847622063560936e-05,0.0003700162318366,-0.0329729999999983,0.6157188857611853,0.8447807738164538,-59.69215686274515,0.2741178189973393,0.6282990506899139,0.0010001601380062474,0.03282942702459063
OR1A1,0.0422218260434782,0.6635294756733248,0.907968965636938,0.0780984999999998,0.1026221808000649,0.5033673212198163,-3.1499999999999773,0.2963485898008469,0.6478295316719864,0.7679011198168151,0.0017324335484349247
KPNB1,0.5964367305629878,4.845109923049768e-10,9.897441470500744e-08,-0.1269025000000034,0.0476062033876515,0.4347227436474277,33.31764705882051,0.9417243430192908,0.9813195799866954,8.797592285840852e-07,0.018324003022100088
ZC3H12B,-0.1286328548149387,0.0848011727154145,0.2865843653131266,0.0149624999999993,0.6915618159236376,0.8840614776296668,8.626470588235321,0.1329984330895142,0.4580039709620436,0.18965256198379768,0.004744376841792425
DCTN5,-0.2484453149632107,0.0002092091280619,0.0022223030419251,-0.1589404999999999,0.0022043992390786,0.2697224694562457,54.34117647058815,0.2897621739747967,0.6413828619645102,0.005401904298418244,0.029886500691768302
DISP1,-0.0282048977324414,0.6248914188194015,0.9038924964709308,-0.0694195000000004,0.332825716004458,0.6748742615406976,2.629411764705821,0.6774217690870079,0.8849671635121302,0.9213818272658422,0.0014461210012145637
LMTK2,0.2197501612441471,0.0075985792368424,0.0417607347296332,0.0175248333333328,0.729156632164188,0.9002084390400826,-15.40882352941182,0.0750749793008248,0.349991070022757,0.02659980494260309,0.008474527880719578
DIO3,0.0343302990482456,0.7003177876701097,0.9111726229507914,-0.0456060000000011,0.3011674564460377,0.6526194624657368,5.229411764705844,0.2045467029299023,0.5522581269220699,0.6856450103094861,0.0028760661523037313
ADAMTS20,0.0601360180608974,0.5037967595253416,0.8819266147630173,0.0525607499999991,0.2989324265484908,0.6520301371603723,-3.4691176470587948,0.1766851442593986,0.5188025974074072,0.5680947838162294,0.001907941522295977
HOMER3,0.2272872223578595,0.0092534689783697,0.0492652610644718,-0.1075621666666677,0.301319016713254,0.6526923981934472,-17.32058823529411,0.3720195266185299,0.7077912701591689,0.089797254723118,0.009525958138873334
C1QTNF5,0.0644532787960526,0.4362431899108033,0.8472571829250164,0.0486240000000002,0.2100122149332237,0.5955430760725997,1.791176470588255,0.6125781658556031,0.8573640651660902,0.8392766473795107,0.0009851092726394848
TBX18,0.0502005959182692,0.6154459878032371,0.9038924964709308,-0.0095482499999999,0.6382430386332609,0.8567115918896521,-2.270588235294099,0.5827177126171337,0.8440659666232915,0.8974446570259462,0.0012487756296841834
FMN2,0.092501831616228,0.3451725491752376,0.7632355282840306,0.0234692499999993,0.4653439918458644,0.7587912960492923,4.285294117647055,0.2456756788836955,0.5974615479139849,0.5583136406274716,0.002356821363277032
CNOT1,0.0872965489294871,0.0265969336387818,0.1159022267330966,-0.063435499999997,0.2394970301742285,0.6130092899179347,20.811764705882297,0.7640134869306515,0.9229049380881724,0.26839629586272534,0.011446031548763383
CRLF3,0.2557582779197324,0.0193397598815202,0.0889173586242473,-0.010275,0.8758414727833727,0.9620634576123116,-184.97352941176496,0.2532456391138887,0.6072346170472522,0.1127393912036007,0.10173153902392323
FAM101A,0.0344264100811403,0.7223883708200662,0.9169703362162176,-0.0039154999999997,0.938817610578764,0.9817109190100736,-0.4147058823529619,0.9301365841914784,0.9790989031944228,0.9737386977904918,0.00022807948676875663
CDY1,0.0582430098141025,0.5530724253752439,0.8969476035936864,0.0051967500000005,0.8812787751663101,0.96270721695065,-1.2367647058823366,0.6685071620412726,0.882316943064734,0.9024198762458768,0.000680194497774866
TOM1L2,0.025348707909188,0.7184582925862817,0.9169251450365868,0.0876951666666672,0.0232621434199857,0.3910207198718995,-0.3156862745098578,0.9664593502420902,0.9892831860753822,0.9766380463285417,0.00017362079134645037
RYR2,0.0478204139473684,0.6254433280846223,0.9038924964709308,0.0074390000000001,0.8243105485391916,0.9417652265964024,-0.3941176470587777,0.9379713127632968,0.9805828746453866,0.9598028096750103,0.00021675639168091
TAX1BP1,0.232712682301282,0.0040563372138563,0.0254570864412731,-0.0332045,0.5780768418206622,0.8242809606630963,-321.4720588235291,0.0762947267687476,0.3525277566225744,0.01736363418133802,0.17680285066359727
KRTAP4-4,-0.0215281303311403,0.8356305510742933,0.9408326790289814,0.0197199999999999,0.7021573986290597,0.8877590876972629,-2.635294117647021,0.4489662758656642,0.7643230786664185,0.9050694226351723,0.0014493561712396652
PABPC5,0.0332625114813034,0.7301238654191561,0.9176163924862344,-0.0166490000000001,0.5716992270633459,0.8209173069046292,3.656862745098067,0.0488192465391204,0.284557487070431,0.36525762999625433,0.0020111973655967522
PPP2R2A,0.2370266339264214,0.0001134717257061,0.001377218988964,-0.1370141249999994,0.0078205728850071,0.3215077204877192,-15.538235294117383,0.7353998671773041,0.9101304887331876,0.006804767668080669,0.008545701621271351
SLC22A12,0.0442026857393162,0.6436733800501444,0.9066589936846208,0.0495374999999986,0.4130128638814572,0.7264024573375337,-3.374509803921512,0.1330769197814971,0.4580039709620436,0.5599934001980263,0.0018559092043924537
PCTP,0.3358081505295429,0.0009061274291098,0.0074204395827996,-0.1706170000000035,0.2082040994553695,0.5944310547054286,38.47647058823532,0.4200545393334378,0.74386291988122,0.019949688735265207,0.02116124713410445
PHF3,0.4162724081885965,0.0102138919286654,0.053267893569843,-0.006555099999999,0.9031150768875806,0.970196240339886,-5.302941176470654,0.9187046579604338,0.975092187105412,0.1697026714144101,0.0029165057776173956
PIGW,0.0306670419955406,0.7532814745643679,0.9225195626211364,0.1329260000000003,0.3245788638273696,0.670437065298659,-0.9058823529411768,0.7461340010771897,0.9152117567023488,0.9543812876815305,0.0004982161838636423
RPS6KA1,0.1704773082900641,0.0065926080771655,0.0372337941508309,-0.1422729999999976,0.1421610903357528,0.5382530750063602,34.55294117647054,0.5661277955732167,0.8359261045489951,0.09475396840728127,0.019003388727370323
SCAMP1,0.0784947355544871,0.0427090347692216,0.1690788800434482,-0.0518755000000004,0.5368062091992738,0.8006866822902671,-99.84411764705897,0.0016385665043604,0.0415207748948443,0.00597643327410754,0.05491215842084118
CCL24,0.0396645275295429,0.7036861247475013,0.9115883848037404,0.0058715000000004,0.9189510507100174,0.9756002279785408,-9.494117647058829,0.0004869059755931,0.0206811358207934,0.018609878921049608,0.0052215644204929796
GPAA1,-0.1735346862894736,0.0652769681063503,0.2348273049352802,-0.0894623333333335,0.0603298489646325,0.4530880851540671,89.24411764705894,0.0573844298151462,0.3058140032305703,0.0949921372014954,0.04908238203563153
SECTM1,0.1068910535328947,0.0858644711643495,0.2895145881463265,-0.1955439999999999,0.1374424946713408,0.5315166400207642,-2.1147058823528937,0.7079852325437928,0.8996460312362526,0.4802396324459384,0.0011630436240193203
RPL22,-0.4431892420482456,8.822477691414588e-05,0.0011351246006453,0.0512512000000011,0.276608149529681,0.6357630274286142,458.9088235294121,0.2668542175961567,0.6202733558719324,0.0026811043608138234,0.2523901719222736
CFHR4,0.0283991596789297,0.7867812241744524,0.9254577631423212,0.0318490000000002,0.6719332256159163,0.8753855347064499,3.911764705882348,0.164230361175229,0.5040840282591094,0.6619180752192373,0.0021513880666839064
P2RY13,0.3185720961923076,7.358763592681565e-05,0.0009859703631041,-0.299317499999999,0.4233138965118196,0.7338989965742411,-121.81764705882324,0.5147572184559894,0.8085692802319316,0.0038152829732468452,0.06699713604955934
RHEBL1,0.0368404154280936,0.6550276661681897,0.9075456227425952,0.0845634999999997,0.4407141641433251,0.7449624771300756,-13.650000000000006,0.0228459930385221,0.1960886202750463,0.2253454237291171,0.007507212043218065
NAP1L3,-0.0957389161074561,0.1633980045445889,0.4702207855099809,0.0734334999999992,0.7258948847843275,0.8995612530469611,6.708823529411802,0.1886917054097092,0.53298839813753,0.3378263537149669,0.003689711413613552
PLEKHG5,0.0621404575423076,0.4879728577300368,0.8761735774089829,0.0466775000000003,0.2684548575926472,0.6315693062294458,1.67117647058825,0.3011278125058161,0.6514973985027195,0.6917073290831024,0.000919111804127675
BATF,-0.230872976115942,0.0075050425172633,0.0413493587320426,-0.0718844999999994,0.3611101435461912,0.6952589703572167,-26.48823529411743,0.4826193771388648,0.7881220132394352,0.09283266810679201,0.01456797062297378
SETD8,0.0841144295899122,0.0464317756140054,0.1799807688242615,-0.0382356250000004,0.2764276020085104,0.6356532308958497,-15.385294117647106,0.1530133665749342,0.4887222020552381,0.142570810551328,0.00846158720061922
WBSCR22,-0.4825555859495614,2.6376271590619816e-08,1.8530377469854491e-06,-0.023908249999998,0.6704539126417141,0.8748196701892008,48.6911764705884,0.2579647995806848,0.6108124769977381,6.0862545521760185e-06,0.026779119882670854
FAM71C,0.0549086698104793,0.6055104254466495,0.9038924964709308,0.0687074999999994,0.324295203438616,0.670437065298659,9.152941176470565,0.00390412116225,0.0711096307165377,0.06998135984337764,0.005033924559037825
CAV1,0.145876947134894,0.0728420719431922,0.255872230492515,-0.0910454999999998,0.3920356863461899,0.7139473246581091,-9.229411764705873,0.0801247616596475,0.360800623722656,0.12549012934560677,0.005075981769363984
KLF6,0.2995707421009615,0.0006882648150279,0.0058732520655149,0.1593480000000013,0.2550180306112618,0.6214221711243043,718.4617647058803,0.0977731742642434,0.3931345624745907,0.005835682307471203,0.39513881410928103
YIPF4,0.2718288833048245,0.1001084396971318,0.3271572390594428,-0.1489879999999992,0.1486050152460161,0.5441746807602321,-53.47941176470596,0.1996018171863383,0.5474722017352202,0.2660189218717249,0.029412548283092914
RHOD,0.05123796680602,0.6357202808809613,0.9064642304759116,0.0540285000000011,0.1927372700753134,0.5807628762585411,1.3794117647059352,0.6354335888066112,0.86705242957293,0.9164051490411889,0.0007586473708833022
FXR2,0.2769163317023412,0.0026391130576239,0.0177788651340084,-0.0887212499999998,0.0992247957550391,0.500002595079852,-12.10882352941178,0.7527264753933973,0.9179443202104394,0.06202508619338263,0.00665959749664486
PSORS1C2,0.012852745872807,0.8900171964773087,0.9586647986889016,0.1159079999999992,0.017096382174313,0.3840075407127918,0.9117647058823196,0.7968898914694149,0.9392068151012686,0.9789346812126417,0.0005014513538887124
ATP6V0D1,0.2816473004559643,0.0059662476688601,0.0343988172098557,-0.1962364999999977,0.002768097803077,0.2824331390984557,772.4235294117639,0.0031513800941544,0.0634343341704522,0.0022791612517209484,0.42481664633443184
