"gene","module","moduleLabel"
"RPS4Y1",2,"blue"
"HLA-DRB1",0,"grey"
"FCGR3A",2,"blue"
"PTMA",2,"blue"
"HLA-DRB4",0,"grey"
"DEFA4",0,"grey"
"DEFA1",0,"grey"
"MYOM2",0,"grey"
"IFI27",1,"turquoise"
"CA1",1,"turquoise"
"OLFM4",0,"grey"
"KRT1",1,"turquoise"
"EVI2B",2,"blue"
"GIMAP7",2,"blue"
"EIF1AY",2,"blue"
"SLC4A1",1,"turquoise"
"APOBEC3A",2,"blue"
"SELENBP1",1,"turquoise"
"CEACAM8",0,"grey"
"FCGR3B",2,"blue"
"IFI44L",8,"pink"
"FAM46C",1,"turquoise"
"ORM1",3,"brown"
"TMSB4X",2,"blue"
"LGALS3",2,"blue"
"IFIT1",8,"pink"
"ANXA2P1",2,"blue"
"EPB42",1,"turquoise"
"GABARAPL2",2,"blue"
"PPIB",2,"blue"
"TRIM58",1,"turquoise"
"RPL23",2,"blue"
"PTPLAD2",2,"blue"
"MMP9",3,"brown"
"S100P",3,"brown"
"PABPC1",2,"blue"
"HBD",1,"turquoise"
"PCDHB9",2,"blue"
"CAMP",0,"grey"
"CD164",2,"blue"
"BCL2A1",2,"blue"
"ALAS2",1,"turquoise"
"IFITM3",8,"pink"
"SNCA",1,"turquoise"
"ARG1",3,"brown"
"LY96",6,"red"
"SPRYD3",2,"blue"
"HLA-G",2,"blue"
"HBZ",1,"turquoise"
"DTWD2",2,"blue"
"CLC",0,"grey"
"ANP32A",2,"blue"
"TLR1",2,"blue"
"GYPB",1,"turquoise"
"LCN2",1,"turquoise"
"RSAD2",8,"pink"
"CAT",2,"blue"
"FAM49B",2,"blue"
"FOLR3",3,"brown"
"DDX3Y",2,"blue"
"ZNF223",2,"blue"
"GMPR",1,"turquoise"
"S100A12",2,"blue"
"HBG1",1,"turquoise"
"KCTD12",2,"blue"
"BNIP3L",2,"blue"
"HBM",1,"turquoise"
"HLA-DQA1",4,"yellow"
"OSBP2",1,"turquoise"
"PPBP",2,"blue"
"DPYSL5",2,"blue"
"GP9",1,"turquoise"
"RNASE3",0,"grey"
"BLVRB",2,"blue"
"SDPR",1,"turquoise"
"ARL6IP1",2,"blue"
"IGJ",1,"turquoise"
"HMGB2",2,"blue"
"TNS1",1,"turquoise"
"XK",1,"turquoise"
"RPS28",2,"blue"
"BMP8B",2,"blue"
"ZFP36L1",2,"blue"
"PDZK1IP1",1,"turquoise"
"RPL14",2,"blue"
"USP49",2,"blue"
"CLEC12A",0,"grey"
"RBM38",1,"turquoise"
"SNAPC1",2,"blue"
"LEP",2,"blue"
"RAB33B",2,"blue"
"RAD21",2,"blue"
"ACSL1",2,"blue"
"BCL2L1",1,"turquoise"
"IFI6",8,"pink"
"RPL9",2,"blue"
"YY1",2,"blue"
"PTGS2",6,"red"
"ITM2B",2,"blue"
"SAMSN1",2,"blue"
"GIMAP2",2,"blue"
"ITM2A",2,"blue"
"LTF",1,"turquoise"
"TMOD1",1,"turquoise"
"RPL7",2,"blue"
"KIAA1751",2,"blue"
"AGTPBP1",2,"blue"
"MX1",8,"pink"
"IFI44",8,"pink"
"CEACAM6",1,"turquoise"
"PIK3AP1",2,"blue"
"PF4V1",1,"turquoise"
"THBS1",1,"turquoise"
"HERC5",8,"pink"
"NRGN",1,"turquoise"
"GZMH",1,"turquoise"
"ACTR3",2,"blue"
"ZNF669",2,"blue"
"NACAP1",2,"blue"
"LYZ",2,"blue"
"CHURC1",1,"turquoise"
"SSTR2",2,"blue"
"GNLY",4,"yellow"
"XRN2",2,"blue"
"SLC5A8",2,"blue"
"IFIT3",8,"pink"
"IGF2BP2",1,"turquoise"
"PPP1R15B",2,"blue"
"EPSTI1",8,"pink"
"HIAT1",2,"blue"
"NLRP8",2,"blue"
"CA4",3,"brown"
"DENR",2,"blue"
"CTSG",1,"turquoise"
"SLC35E1",2,"blue"
"CCR7",4,"yellow"
"GSTM2",0,"grey"
"GNA13",2,"blue"
"ANXA3",2,"blue"
"HLA-DQB1",0,"grey"
"PLA2G2D",2,"blue"
"OLR1",1,"turquoise"
"KLRF1",2,"blue"
"SLC6A8",1,"turquoise"
"VPREB3",4,"yellow"
"PMAIP1",2,"blue"
"MCEMP1",3,"brown"
"ALPL",3,"brown"
"PGLYRP1",3,"brown"
